"","rep","scenario","time","biomass"
"73",73,"Status_quo",2001,8742.95711477754
"74",74,"Status_quo",2001,81444.9374882088
"75",75,"Status_quo",2001,114065.310067703
"76",76,"Status_quo",2001,30392.5228900062
"77",77,"Status_quo",2001,31094.6916472047
"78",78,"Status_quo",2001,37161.5505711755
"79",79,"Status_quo",2001,56450.8700918826
"80",80,"Status_quo",2001,37323.455298805
"81",81,"Status_quo",2001,32847.614667646
"82",82,"Status_quo",2001,32806.2033991607
"83",83,"Status_quo",2001,42507.8659471814
"84",84,"Status_quo",2001,76464.9456011801
"85",85,"Status_quo",2001,29622.1524344529
"86",86,"Status_quo",2001,8996.95518437552
"87",87,"Status_quo",2001,42262.3387276717
"88",88,"Status_quo",2001,8742.95711477754
"89",89,"Status_quo",2001,81444.9374882088
"90",90,"Status_quo",2001,114065.310067703
"91",91,"Status_quo",2001,30392.5228900062
"92",92,"Status_quo",2001,31094.6916472047
"93",93,"Status_quo",2001,37161.5505711755
"94",94,"Status_quo",2001,56450.8700918826
"95",95,"Status_quo",2001,37323.455298805
"96",96,"Status_quo",2001,32847.614667646
"97",97,"Status_quo",2001,34718.787797218
"98",98,"Status_quo",2001,79269.1771218774
"99",99,"Status_quo",2001,42466.1776102628
"100",100,"Status_quo",2001,132509.272950697
"101",1,"MPAs_maxdist",2001,34145.1378578956
"102",2,"MPAs_maxdist",2001,20464.9055557766
"103",3,"MPAs_maxdist",2001,16946.6400138887
"104",4,"MPAs_maxdist",2001,11379.5906715788
"105",5,"MPAs_maxdist",2001,47297.0397916947
"106",6,"MPAs_maxdist",2001,102561.805078238
"107",7,"MPAs_maxdist",2001,62528.9227328133
"108",8,"MPAs_maxdist",2001,72016.755194488
"109",9,"MPAs_maxdist",2001,76981.4506794674
"110",10,"MPAs_maxdist",2001,19769.751528291
"111",11,"MPAs_maxdist",2001,19708.5214670961
"112",12,"MPAs_maxdist",2001,32484.7658451626
"113",13,"MPAs_maxdist",2001,30136.0093056477
"114",14,"MPAs_maxdist",2001,22556.7693102611
"115",15,"MPAs_maxdist",2001,227851.860636254
"116",16,"MPAs_maxdist",2001,59365.395184553
"117",17,"MPAs_maxdist",2001,35530.8382682542
"118",18,"MPAs_maxdist",2001,25227.5483749916
"119",19,"MPAs_maxdist",2001,10325.8580795346
"120",20,"MPAs_maxdist",2001,45866.8493468847
"121",21,"MPAs_maxdist",2001,64061.1708122745
"122",22,"MPAs_maxdist",2001,28898.7042701483
"123",23,"MPAs_maxdist",2001,136863.355756914
"124",24,"MPAs_maxdist",2001,45622.6053576044
"125",25,"MPAs_maxdist",2001,59612.8158380257
"126",26,"MPAs_maxdist",2001,41295.5491843326
"127",27,"MPAs_maxdist",2001,207008.692118337
"128",28,"MPAs_maxdist",2001,46995.5847550951
"129",29,"MPAs_maxdist",2001,92983.1765752836
"130",30,"MPAs_maxdist",2001,33856.0807404843
"131",31,"MPAs_maxdist",2001,88431.2387641063
"132",32,"MPAs_maxdist",2001,22268.989506593
"133",33,"MPAs_maxdist",2001,24295.0934967261
